,index,md5hash,fitzpatrick,label,nine_partition_label,three_partition_label,qc,url,url_alphanum,low,mid,high,hasher,image_path
14347,7232,aad33b33ed190972cc96d5705e276a25,4,prurigo nodularis,benign epidermal,benign,1 Diagnostic,http://atlasdermatologico.com.br/img?imageId=6083,httpwwwatlasdermatologicocombrimgimageId6083.jpg,85,1,0,aad33b33ed190972cc96d5705e276a25,http://atlasdermatologico.com.br/img?imageId=6083
14731,8825,0ebbe712c9ae16ad849cb044a91ab0fa,5,folliculitis,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=1667,httpwwwatlasdermatologicocombrimgimageId1667.jpg,32,4,2,0ebbe712c9ae16ad849cb044a91ab0fa,http://atlasdermatologico.com.br/img?imageId=1667
15784,13289,15e5012393724fc3a78997b227453a04,3,pediculosis lids,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=5162,httpwwwatlasdermatologicocombrimgimageId5162.jpg,73,4,2,15e5012393724fc3a78997b227453a04,http://atlasdermatologico.com.br/img?imageId=5162
8997,8998,013f98247c9485a5f174af5212ad35c6,2,scleromyxedema,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/s/scleromyxedema/scleromyxedema23.jpg,httpwwwdermaamincomsiteimagesclinicalpicsscleromyxedemascleromyxedema23jpg.jpg,94,4,2,013f98247c9485a5f174af5212ad35c6,https://www.dermaamin.com/site/images/clinical-pic/s/scleromyxedema/scleromyxedema23.jpg
16375,15815,d4f59a70c77ed87361b78a70d24f990a,3,striae,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=6881,httpwwwatlasdermatologicocombrimgimageId6881.jpg,101,4,2,d4f59a70c77ed87361b78a70d24f990a,http://atlasdermatologico.com.br/img?imageId=6881
7434,7435,f2d004196e4efde23e0298a624eb92ad,2,acne,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/a/acne_aggravated_by_steroids/acne_aggravated_by_steroids11.jpg,httpwwwdermaamincomsiteimagesclinicalpicaacneaggravatedbysteroidsacneaggravatedbysteroids11jpg.jpg,1,4,2,f2d004196e4efde23e0298a624eb92ad,https://www.dermaamin.com/site/images/clinical-pic/a/acne_aggravated_by_steroids/acne_aggravated_by_steroids11.jpg
13633,4067,04437cd3092a8922dc9af8100d350431,4,kaposi sarcoma,malignant dermal,malignant,,http://atlasdermatologico.com.br/img?imageId=2918,httpwwwatlasdermatologicocombrimgimageId2918.jpg,42,6,1,04437cd3092a8922dc9af8100d350431,http://atlasdermatologico.com.br/img?imageId=2918
12164,12166,60b060a264373cd538b4993800d7e73b,3,disseminated actinic porokeratosis,benign epidermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/d/disseminated_superficial_actinic_porokeratosis/disseminated_superficial_actinic_porokeratosis32.jpg,httpwwwdermaamincomsiteimagesclinicalpicddisseminatedsuperficialactinicporokeratosisdisseminatedsuperficialactinicporokeratosis32jpg.jpg,18,1,0,60b060a264373cd538b4993800d7e73b,https://www.dermaamin.com/site/images/clinical-pic/d/disseminated_superficial_actinic_porokeratosis/disseminated_superficial_actinic_porokeratosis32.jpg
11036,11037,9631fcf44ae5d956f62132cd3890b29b,1,urticaria pigmentosa,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/u/urticaria-pigmentosa/urticaria-pigmentosa49.jpg,httpwwwdermaamincomsiteimagesclinicalpicuurticariapigmentosaurticariapigmentosa49jpg.jpg,110,4,2,9631fcf44ae5d956f62132cd3890b29b,https://www.dermaamin.com/site/images/clinical-pic/u/urticaria-pigmentosa/urticaria-pigmentosa49.jpg
9971,9972,bfe249070829d1e016e75600a955f436,5,syringoma,benign dermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/s/syringoma/syringoma72.jpg,httpwwwdermaamincomsiteimagesclinicalpicssyringomasyringoma72jpg.jpg,104,0,0,bfe249070829d1e016e75600a955f436,https://www.dermaamin.com/site/images/clinical-pic/s/syringoma/syringoma72.jpg
987,987,8627d70649740b4d8ad7febba97aa870,4,drug eruption,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/d/drug_eruption/drug_eruption85.jpg,httpwwwdermaamincomsiteimagesclinicalpicddrugeruptiondrugeruption85jpg.jpg,19,4,2,8627d70649740b4d8ad7febba97aa870,https://www.dermaamin.com/site/images/clinical-pic/d/drug_eruption/drug_eruption85.jpg
9741,9742,0a0e21f413499ad85018f7fa0df3efe2,2,myiasis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/Y/yaws/yaws2.jpg,httpwwwdermaamincomsiteimagesclinicalpicYyawsyaws2jpg.jpg,61,4,2,0a0e21f413499ad85018f7fa0df3efe2,https://www.dermaamin.com/site/images/clinical-pic/Y/yaws/yaws2.jpg
8571,8572,00c3d96df4950c3842003743fac2a23b,4,scabies,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/n/norwegian_scabies/norwegian_scabies23.jpg,httpwwwdermaamincomsiteimagesclinicalpicnnorwegianscabiesnorwegianscabies23jpg.jpg,92,4,2,00c3d96df4950c3842003743fac2a23b,https://www.dermaamin.com/site/images/clinical-pic/n/norwegian_scabies/norwegian_scabies23.jpg
12753,348,3fac0ed7c8a7bd96981e6b0370beb67a,2,porokeratosis of mibelli,benign epidermal,benign,,http://atlasdermatologico.com.br/img?imageId=6005,httpwwwatlasdermatologicocombrimgimageId6005.jpg,82,1,0,3fac0ed7c8a7bd96981e6b0370beb67a,http://atlasdermatologico.com.br/img?imageId=6005
5015,5016,a40c0bfbf2604b87bd2a9ba2c5e610c6,6,psoriasis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis-congenital/psoriasis-congenital2.jpg,httpwwwdermaamincomsiteimagesclinicalpicppsoriasiscongenitalpsoriasiscongenital2jpg.jpg,86,4,2,a40c0bfbf2604b87bd2a9ba2c5e610c6,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis-congenital/psoriasis-congenital2.jpg
5458,5459,5f468ccefc2d2a777dbfe1b4e8a43bf3,3,allergic contact dermatitis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/a/allergic_contact_dermatitis/allergic_contact_dermatitis118.jpg,httpwwwdermaamincomsiteimagesclinicalpicaallergiccontactdermatitisallergiccontactdermatitis118jpg.jpg,6,4,2,5f468ccefc2d2a777dbfe1b4e8a43bf3,https://www.dermaamin.com/site/images/clinical-pic/a/allergic_contact_dermatitis/allergic_contact_dermatitis118.jpg
8702,8703,2305cca6a3fb6aa1c0bb5194a58774b9,2,nematode infection,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/c/cutaneous_larva_migrans/cutaneous_larva_migrans22.jpg,httpwwwdermaamincomsiteimagesclinicalpicccutaneouslarvamigranscutaneouslarvamigrans22jpg.jpg,64,4,2,2305cca6a3fb6aa1c0bb5194a58774b9,https://www.dermaamin.com/site/images/clinical-pic/c/cutaneous_larva_migrans/cutaneous_larva_migrans22.jpg
10662,10663,a84f3bf0c9e806169177f595ba7d8797,4,lichen planus,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/L/lichen_planus_follicularis/lichen_planus_follicularis24.jpg,httpwwwdermaamincomsiteimagesclinicalpicLlichenplanusfollicularislichenplanusfollicularis24jpg.jpg,48,4,2,a84f3bf0c9e806169177f595ba7d8797,https://www.dermaamin.com/site/images/clinical-pic/L/lichen_planus_follicularis/lichen_planus_follicularis24.jpg
15922,13888,b3fe1abd1c56355361aec80ed8eec4cb,3,squamous cell carcinoma,malignant epidermal,malignant,,http://atlasdermatologico.com.br/img?imageId=3002,httpwwwatlasdermatologicocombrimgimageId3002.jpg,98,7,1,b3fe1abd1c56355361aec80ed8eec4cb,http://atlasdermatologico.com.br/img?imageId=3002
7496,7497,a635aac0c468dd48b0ba5a5f96929d07,2,allergic contact dermatitis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/g/grovers_disease_transient_acantholytic_dermatosis/grovers_disease_transient_acantholytic_dermatosis14.jpg,httpwwwdermaamincomsiteimagesclinicalpicggroversdiseasetransientacantholyticdermatosisgroversdiseasetransientacantholyticdermatosis14jpg.jpg,6,4,2,a635aac0c468dd48b0ba5a5f96929d07,https://www.dermaamin.com/site/images/clinical-pic/g/grovers_disease_transient_acantholytic_dermatosis/grovers_disease_transient_acantholytic_dermatosis14.jpg
8001,8002,4045025085e6bee9e718b2a255fee26d,1,sun damaged skin,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/s/sun-burn/sun-burn9.jpg,httpwwwdermaamincomsiteimagesclinicalpicssunburnsunburn9jpg.jpg,102,4,2,4045025085e6bee9e718b2a255fee26d,https://www.dermaamin.com/site/images/clinical-pic/s/sun-burn/sun-burn9.jpg
5712,5713,d0ab03265959919f905d2d880931d690,1,photodermatoses,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/phytophotodermatitis/phytophotodermatitis74.jpg,httpwwwdermaamincomsiteimagesclinicalpicpphytophotodermatitisphytophotodermatitis74jpg.jpg,75,4,2,d0ab03265959919f905d2d880931d690,https://www.dermaamin.com/site/images/clinical-pic/p/phytophotodermatitis/phytophotodermatitis74.jpg
12268,12271,867ce1ee704a546ae8b25a0c3d8cfe7a,2,folliculitis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/e/eosinophilic_pustula_folliculitis/eosinophilic_pustula_folliculitis28.jpg,httpwwwdermaamincomsiteimagesclinicalpiceeosinophilicpustulafolliculitiseosinophilicpustulafolliculitis28jpg.jpg,32,4,2,867ce1ee704a546ae8b25a0c3d8cfe7a,https://www.dermaamin.com/site/images/clinical-pic/e/eosinophilic_pustula_folliculitis/eosinophilic_pustula_folliculitis28.jpg
3674,3675,14d0d57b5430a9923c415e5148ee7ba1,4,lymphangioma,benign dermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/L/lymphangioma/lymphangioma54.jpg,httpwwwdermaamincomsiteimagesclinicalpicLlymphangiomalymphangioma54jpg.jpg,54,0,0,14d0d57b5430a9923c415e5148ee7ba1,https://www.dermaamin.com/site/images/clinical-pic/L/lymphangioma/lymphangioma54.jpg
8867,8868,f1b0f58960540abf9402b5fb805ed24c,1,juvenile xanthogranuloma,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/J/juvenile-xanthogranuloma/juvenile-xanthogranuloma64.jpg,httpwwwdermaamincomsiteimagesclinicalpicJjuvenilexanthogranulomajuvenilexanthogranuloma64jpg.jpg,41,4,2,f1b0f58960540abf9402b5fb805ed24c,https://www.dermaamin.com/site/images/clinical-pic/J/juvenile-xanthogranuloma/juvenile-xanthogranuloma64.jpg
4525,4526,4eec77e02a05086a00eb491621f28591,3,acne vulgaris,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/a/acne_vulgaris/acne_vulgaris23.jpg,httpwwwdermaamincomsiteimagesclinicalpicaacnevulgarisacnevulgaris23jpg.jpg,2,4,2,4eec77e02a05086a00eb491621f28591,https://www.dermaamin.com/site/images/clinical-pic/a/acne_vulgaris/acne_vulgaris23.jpg
12485,12488,afce09d46b31081f35b4aecce877d843,5,incontinentia pigmenti,genodermatoses,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/I/incontinentia_pigmenti/incontinentia_pigmenti37.jpg,httpwwwdermaamincomsiteimagesclinicalpicIincontinentiapigmentiincontinentiapigmenti37jpg.jpg,40,3,2,afce09d46b31081f35b4aecce877d843,https://www.dermaamin.com/site/images/clinical-pic/I/incontinentia_pigmenti/incontinentia_pigmenti37.jpg
11955,11957,538431a907acd5d693c01a6ab5e2f325,2,lichen planus,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/L/lichen_planus_actinic/lichen_planus_actinic9.jpg,httpwwwdermaamincomsiteimagesclinicalpicLlichenplanusactiniclichenplanusactinic9jpg.jpg,48,4,2,538431a907acd5d693c01a6ab5e2f325,https://www.dermaamin.com/site/images/clinical-pic/L/lichen_planus_actinic/lichen_planus_actinic9.jpg
15267,11164,f48f828093c8bfc43090824e9b005c54,2,behcets disease,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=774,httpwwwatlasdermatologicocombrimgimageId774.jpg,11,4,2,f48f828093c8bfc43090824e9b005c54,http://atlasdermatologico.com.br/img?imageId=774
11683,11684,5b182fc329d1a188bf1f58987d60c4b9,1,aplasia cutis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/a/aplasia_cutis_congenita_circumscripta/aplasia_cutis_congenita_circumscripta19.jpg,httpwwwdermaamincomsiteimagesclinicalpicaaplasiacutiscongenitacircumscriptaaplasiacutiscongenitacircumscripta19jpg.jpg,7,4,2,5b182fc329d1a188bf1f58987d60c4b9,https://www.dermaamin.com/site/images/clinical-pic/a/aplasia_cutis_congenita_circumscripta/aplasia_cutis_congenita_circumscripta19.jpg
14868,9380,0dcc2e03063cce0ad0908e6432a7c17c,2,pityriasis lichenoides chronica,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=5514,httpwwwatlasdermatologicocombrimgimageId5514.jpg,78,4,2,0dcc2e03063cce0ad0908e6432a7c17c,http://atlasdermatologico.com.br/img?imageId=5514
13006,1386,861bf164e332111c17ea45d731798616,4,erythema multiforme,inflammatory,non-neoplastic,1 Diagnostic,http://atlasdermatologico.com.br/img?imageId=1961,httpwwwatlasdermatologicocombrimgimageId1961.jpg,28,4,2,861bf164e332111c17ea45d731798616,http://atlasdermatologico.com.br/img?imageId=1961
12369,12372,35795df3d50bb359f4d80463cb2f5059,4,granuloma annulare,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/g/granuloma_annulare/granuloma_annulare96.jpg,httpwwwdermaamincomsiteimagesclinicalpicggranulomaannularegranulomaannulare96jpg.jpg,34,4,2,35795df3d50bb359f4d80463cb2f5059,https://www.dermaamin.com/site/images/clinical-pic/g/granuloma_annulare/granuloma_annulare96.jpg
4402,4403,366bc0d324fcd46804749d53cc0f0527,2,perioral dermatitis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/perioral-dermatitis/perioral-dermatitis16.jpg,httpwwwdermaamincomsiteimagesclinicalpicpperioraldermatitisperioraldermatitis16jpg.jpg,74,4,2,366bc0d324fcd46804749d53cc0f0527,https://www.dermaamin.com/site/images/clinical-pic/p/perioral-dermatitis/perioral-dermatitis16.jpg
5153,5154,91bab2b92e98c3b3ce6b9cd9b726c9e4,2,cheilitis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/perleche/perleche1.jpg,httpwwwdermaamincomsiteimagesclinicalpicpperlecheperleche1jpg.jpg,13,4,2,91bab2b92e98c3b3ce6b9cd9b726c9e4,https://www.dermaamin.com/site/images/clinical-pic/p/perleche/perleche1.jpg
12691,72,1069ab14d1badfb5de1c814b70403753,5,erythema nodosum,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=1981,httpwwwatlasdermatologicocombrimgimageId1981.jpg,29,4,2,1069ab14d1badfb5de1c814b70403753,http://atlasdermatologico.com.br/img?imageId=1981
8469,8470,658d71c642fd7031e4ffed067bc41167,4,tungiasis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/t/tungiasis/tungiasis37.jpg,httpwwwdermaamincomsiteimagesclinicalpicttungiasistungiasis37jpg.jpg,108,4,2,658d71c642fd7031e4ffed067bc41167,https://www.dermaamin.com/site/images/clinical-pic/t/tungiasis/tungiasis37.jpg
13900,5186,28106a52d5f759fe609f64b2fc68ec49,-1,pityriasis rubra pilaris,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=5814,httpwwwatlasdermatologicocombrimgimageId5814.jpg,80,4,2,28106a52d5f759fe609f64b2fc68ec49,http://atlasdermatologico.com.br/img?imageId=5814
2993,2994,4eb799199c491b819bf1068cac715d7d,6,congenital nevus,benign melanocyte,benign,,https://www.dermaamin.com/site/images/clinical-pic/c/congenital_dimple/congenital_dimple2.jpg,httpwwwdermaamincomsiteimagesclinicalpicccongenitaldimplecongenitaldimple2jpg.jpg,14,2,0,4eb799199c491b819bf1068cac715d7d,https://www.dermaamin.com/site/images/clinical-pic/c/congenital_dimple/congenital_dimple2.jpg
485,485,5edeb76d21d1380cdabc1123a3d801f7,2,pityriasis lichenoides chronica,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/pityriasis_lichenoid_chronica/pityriasis_lichenoid_chronica19.jpg,httpwwwdermaamincomsiteimagesclinicalpicppityriasislichenoidchronicapityriasislichenoidchronica19jpg.jpg,78,4,2,5edeb76d21d1380cdabc1123a3d801f7,https://www.dermaamin.com/site/images/clinical-pic/p/pityriasis_lichenoid_chronica/pityriasis_lichenoid_chronica19.jpg
8730,8731,826ef5bf00af9a6e0c1c9fbb00a0409b,4,stasis edema,inflammatory,non-neoplastic,2 Characteristic,https://www.dermaamin.com/site/images/clinical-pic/p/pretibial-myxedema/pretibial-myxedema4.jpg,httpwwwdermaamincomsiteimagesclinicalpicppretibialmyxedemapretibialmyxedema4jpg.jpg,99,4,2,826ef5bf00af9a6e0c1c9fbb00a0409b,https://www.dermaamin.com/site/images/clinical-pic/p/pretibial-myxedema/pretibial-myxedema4.jpg
8670,8671,eacf03461494b704662839ce4ec6d617,2,acne,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/a/acne_scarring/acne_scarring21.jpg,httpwwwdermaamincomsiteimagesclinicalpicaacnescarringacnescarring21jpg.jpg,1,4,2,eacf03461494b704662839ce4ec6d617,https://www.dermaamin.com/site/images/clinical-pic/a/acne_scarring/acne_scarring21.jpg
6109,6110,e6724fb4c07a8cde33753fd5065aef84,1,neurodermatitis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/n/nummula-dermatitis/nummula-dermatitis30.jpg,httpwwwdermaamincomsiteimagesclinicalpicnnummuladermatitisnummuladermatitis30jpg.jpg,65,4,2,e6724fb4c07a8cde33753fd5065aef84,https://www.dermaamin.com/site/images/clinical-pic/n/nummula-dermatitis/nummula-dermatitis30.jpg
9238,9239,69a4fd475efb266db27dae131d5e125f,6,cheilitis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/c/cheilitis/cheilitis9.jpg,httpwwwdermaamincomsiteimagesclinicalpicccheilitischeilitis9jpg.jpg,13,4,2,69a4fd475efb266db27dae131d5e125f,https://www.dermaamin.com/site/images/clinical-pic/c/cheilitis/cheilitis9.jpg
2810,2811,43713e7975764ca0641ef98d2783560a,3,juvenile xanthogranuloma,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/J/juvenile-xanthogranuloma/juvenile-xanthogranuloma69.jpg,httpwwwdermaamincomsiteimagesclinicalpicJjuvenilexanthogranulomajuvenilexanthogranuloma69jpg.jpg,41,4,2,43713e7975764ca0641ef98d2783560a,https://www.dermaamin.com/site/images/clinical-pic/J/juvenile-xanthogranuloma/juvenile-xanthogranuloma69.jpg
7442,7443,f51aae6b3d3b76b975070baac2145672,6,seborrheic keratosis,benign epidermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/s/seborrheic-keratoses/seborrheic-keratoses6.jpg,httpwwwdermaamincomsiteimagesclinicalpicsseborrheickeratosesseborrheickeratoses6jpg.jpg,96,1,0,f51aae6b3d3b76b975070baac2145672,https://www.dermaamin.com/site/images/clinical-pic/s/seborrheic-keratoses/seborrheic-keratoses6.jpg
3875,3876,f7d63b8ee7f442e54a749260e2e0896e,-1,pityriasis rosea,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/pityriasis_rosea/pityriasis_rosea79.jpg,httpwwwdermaamincomsiteimagesclinicalpicppityriasisroseapityriasisrosea79jpg.jpg,79,4,2,f7d63b8ee7f442e54a749260e2e0896e,https://www.dermaamin.com/site/images/clinical-pic/p/pityriasis_rosea/pityriasis_rosea79.jpg
9253,9254,3a1fef19baed939b8aea138c39e80520,3,prurigo nodularis,benign epidermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/p/prurigo_nodularis/prurigo_nodularis30.jpg,httpwwwdermaamincomsiteimagesclinicalpicpprurigonodularisprurigonodularis30jpg.jpg,85,1,0,3a1fef19baed939b8aea138c39e80520,https://www.dermaamin.com/site/images/clinical-pic/p/prurigo_nodularis/prurigo_nodularis30.jpg
15088,10443,26b787b6e298c158fa14bc0edfbaafd9,3,tungiasis,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=7688,httpwwwatlasdermatologicocombrimgimageId7688.jpg,108,4,2,26b787b6e298c158fa14bc0edfbaafd9,http://atlasdermatologico.com.br/img?imageId=7688
3583,3584,f2e54773d25d5484fc11f4d6c3f2703a,5,pityriasis lichenoides chronica,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/pityriasis_lichenoid_chronica/pityriasis_lichenoid_chronica7.jpg,httpwwwdermaamincomsiteimagesclinicalpicppityriasislichenoidchronicapityriasislichenoidchronica7jpg.jpg,78,4,2,f2e54773d25d5484fc11f4d6c3f2703a,https://www.dermaamin.com/site/images/clinical-pic/p/pityriasis_lichenoid_chronica/pityriasis_lichenoid_chronica7.jpg
14300,7003,61d5d67caeafd5fd1b793f1b281863dd,-1,scleroderma,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=4509,httpwwwatlasdermatologicocombrimgimageId4509.jpg,93,4,2,61d5d67caeafd5fd1b793f1b281863dd,http://atlasdermatologico.com.br/img?imageId=4509
3572,3573,1f8a764acfe2257617abd61833fbea83,3,pityriasis rosea,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/pityriasis_rosea/pityriasis_rosea42.jpg,httpwwwdermaamincomsiteimagesclinicalpicppityriasisroseapityriasisrosea42jpg.jpg,79,4,2,1f8a764acfe2257617abd61833fbea83,https://www.dermaamin.com/site/images/clinical-pic/p/pityriasis_rosea/pityriasis_rosea42.jpg
10763,10764,d8e7448c86f349f0b31e5ec9bfc8a15e,4,pityriasis lichenoides chronica,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/pityriasis_lichenoid_chronica/pityriasis_lichenoid_chronica29.jpg,httpwwwdermaamincomsiteimagesclinicalpicppityriasislichenoidchronicapityriasislichenoidchronica29jpg.jpg,78,4,2,d8e7448c86f349f0b31e5ec9bfc8a15e,https://www.dermaamin.com/site/images/clinical-pic/p/pityriasis_lichenoid_chronica/pityriasis_lichenoid_chronica29.jpg
